partner,Nom,mandate,state,signature_date,last_debit_date
002655,AMPA ESC. JOSEP DE RIBOT I OLIVAS,26550025300000000000000000000000000,valid,2014-10-16,2017-11-10
002656,AMPA INSTITUT ERMESSENDA,26560030460000000000000000000000000,esborrany,2014-11-19,2017-11-10
002658,AMPA LLI BARROMINA,26580037540000000000000000000000000,valid,2014-10-01,2017-11-10
002659,AMPA LLAR D'INFANTS LA MARINADA,26590025200000000000000000000000000,valid,2018-06-01,2017-10-27
002660,AMPA LLAR D' INFANTS PINEDA,26600027270000000000000000000000000,valid,2015-02-19,2017-10-27
002661,AMPA LLAR D'INFANTS PICAROL,26610025240000000000000000000000000,valid,2014-12-01,2017-10-27
002662,AFA EBM EL TIMBAL,26620027130000000000000000000000000,valid,2014-12-01,2017-10-27
002663,AMPA LLAR D'INFANTS ELS BELLUGUETS,26630025100000000000000000000000000,esborrany,2015-11-01,2017-10-27
002664,AMPA ESCOLA TAIGA D'EDUCACIÓ ESPECIAL,26640025120000000000000000000000000,esborrany,2017-10-01,2017-11-10
002666,AMPA EBM COLORAINES,26660024930000000000000000000000000,valid,2014-12-01,2017-11-10
002667,AMPA EBM MANIGUA,26670025140000000000000000000000000,valid,2015-02-23,2017-11-10
002668,AMPA INSTITUT ISAAC ALBÉNIZ DE BADALONA,26680025220000000000000000000000000,valid,2014-12-01,2017-11-10
002669,AMPA EBM CASA DELS NENS,26690025280000000000000000000000000,valid,2015-04-16,2017-11-10
002670,AMPA ESCOLA SANT GREGORI,26700034110000000000000000000000000,valid,2014-12-01,2017-11-10
002671,AMPA EBM EDELWEISS,26710025180000000000000000000000000,valid,2014-12-01,2017-10-27
002672,AMPA INSTITUT TORRE DE MALLA,26720025060000000000000000000000000,valid,2014-12-10,2017-11-10
002673,APA ESCOLA POBLE SEC,26730025260000000000000000000000000,esborrany,2014-12-10,2017-11-10
002674,AMPA EB L'ESTEL,26740024950000000000000000000000000,valid,2014-12-10,2017-10-27
002675,AMPA EBM QUERMANY PETIT,26750029690000000000000000000000000,valid,2014-12-01,2017-11-10
002676,AMPA ESCOLA EL ROSER,26760025810000000000000000000000000,valid,2016-10-01,2017-11-28
002677,AMPA EBM TRES TURONS,26770031420000000000000000000000000,esborrany,2014-12-10,2017-11-10
002678,AMPA INSTITUT MONTPEDRÓS,26780026340000000000000000000000000,valid,2014-12-01,2017-10-27
002679,AMPA ESCOLA EL ROCAL,26790025830000000000000000000000000,valid,2014-12-01,2017-10-27
002680,AMPA IES L' ARBOÇ,26800026310000000000000000000000000,valid,2014-12-10,2017-11-10
002681,AMPA INS SANT GREGORI,26810028560000000000000000000000000,valid,2015-08-01,2017-11-10
002682,AMIPA Mare de Déu de l'Esperança,26820026400000000000000000000000000,valid,2015-02-24,2017-10-27
002683,AMPA ESCOLA XORIGUER,26830026070000000000000000000000000,valid,2016-10-01,2017-11-10
002684,AMPA LLAR D'INFANTS LO TOSSALET,26840026190000000000000000000000000,valid,2015-03-03,2017-11-28
002686,AMPA SANT FERRAN,26860026240000000000000000000000000,valid,2015-03-05,2017-10-27
